Points_0,Points_1,Points_2,Points_Magnitude,activeset,displacement_0,displacement_1,displacement_2,displacement_Magnitude,gap,nodal_cauchy_stresses_xyz_0,nodal_cauchy_stresses_xyz_1,nodal_cauchy_stresses_xyz_2,nodal_cauchy_stresses_xyz_3,nodal_cauchy_stresses_xyz_4,nodal_cauchy_stresses_xyz_5,nodal_cauchy_stresses_xyz_Magnitude,norcontactstress_0,norcontactstress_1,norcontactstress_2,norcontactstress_Magnitude,tancontactstress_0,tancontactstress_1,tancontactstress_2,tancontactstress_Magnitude,Point ID
-0.00619276,-0.845153,0,0.845176,0,-3.82483e-05,-0.00361169,0,0.00361189,0,-0.221023,-3.57416,0,0.118961,0,0,3.58296,0,0,0,0,0,0,0,0,30
-0.00628379,-0.851604,0,0.851627,0,-3.96148e-05,-0.00350558,0,0.00350581,0,-0.24944,-3.69707,0,0.12786,0,0,3.70768,0,0,0,0,0,0,0,0,31
-1.12039e-19,-0.858065,0,0.858065,0,-7.10085e-19,-0.00339044,0,0.00339044,0,-0.277769,-3.83755,0,-6.69127e-13,0,0,3.84759,0,0,0,0,0,0,0,0,32
2.08459e-19,-0.851613,0,0.851613,0,-7.4201e-19,-0.00350055,0,0.00350055,0,-0.245859,-3.70627,0,-1.74213e-14,0,0,3.71442,0,0,0,0,0,0,0,0,33
-0.00628379,-0.851604,0,0.851627,0,-3.96148e-05,-0.00350558,0,0.00350581,0,-0.24944,-3.69707,0,0.12786,0,0,3.70768,0,0,0,0,0,0,0,0,34
-0.00637482,-0.858054,0,0.858078,0,-4.09945e-05,-0.00339598,0,0.00339623,0,-0.281706,-3.82718,0,0.137483,0,0,3.83999,0,0,0,0,0,0,0,0,35
-3.95016e-19,-0.864516,0,0.864516,0,-1.01857e-18,-0.00327661,0,0.00327661,0,-0.31423,-3.97667,0,6.35382e-13,0,0,3.98907,0,0,0,0,0,0,0,0,36
-1.12039e-19,-0.858065,0,0.858065,0,-7.10085e-19,-0.00339044,0,0.00339044,0,-0.277769,-3.83755,0,-6.69127e-13,0,0,3.84759,0,0,0,0,0,0,0,0,37
-0.00637482,-0.858054,0,0.858078,0,-4.09945e-05,-0.00339598,0,0.00339623,0,-0.281706,-3.82718,0,0.137483,0,0,3.83999,0,0,0,0,0,0,0,0,38
-0.00646585,-0.864505,0,0.864529,0,-4.23733e-05,-0.0032827,0,0.00328298,0,-0.318547,-3.96498,0,0.147873,0,0,3.9805,0,0,0,0,0,0,0,0,39
